name,domain,address,type,id.jisc,id.ukprn,id.isni,id.ringgold,id.gokb,id.ncsu-olnd-uri,id.viaf,id.freebase-uri,id.lccn,id.dbpedia-uri,id.dnb-uri,id.juliet,id.doi,funder_group,membership_org
IBISWorld Pty Ltd.,,,Publisher,,,,,5402,http://www.lib.ncsu.edu/ld/onld/00000867,158738028,http://rdf.freebase.com/ns/m/04182zg,nr2001029881,http://dbpedia.org/resource/IBISWorld,,,,,false
Icarus Films,,,Publisher,,,,,5408,http://www.lib.ncsu.edu/ld/onld/00001029,128996420,http://rdf.freebase.com/ns/m/0yldjy5,n79128911,,,,,,false
Thomas Telford / ICE Publishing,,,Publisher,,,,,5413,http://www.lib.ncsu.edu/ld/onld/00001318,,http://rdf.freebase.com/ns/m/01062_nw,,,,,,,false
ICIS Pricing,,,Publisher,,,,,5416,http://www.lib.ncsu.edu/ld/onld/00001580,,,,,,,,,false
Idea Group,,,Publisher,,,0000000103808142,,5418,http://www.lib.ncsu.edu/ld/onld/00001160,155143063,,no2006104746,http://dbpedia.org/resource/IDEA_Group,,,,,false
IdN Proshop,,,Publisher,,,,,5424,http://www.lib.ncsu.edu/ld/onld/00001030,,,,,,,,,false
IEEE,,,Publisher,,,0000000121063391,,5426,http://www.lib.ncsu.edu/ld/onld/00000041,123926298,http://rdf.freebase.com/ns/m/0fpjj,n79053217,http://dbpedia.org/resource/Institute_of_Electrical_and_Electronics_Engineers,,,,,false
IGI Global,,,Publisher,,,0000000104498262,,5433,http://www.lib.ncsu.edu/ld/onld/00001319,156327370,http://rdf.freebase.com/ns/m/03d6j8h,no2008075894,http://dbpedia.org/resource/IGI_Global,,,,,false
IM Publications LLP,,,Publisher,,,,,5440,http://www.lib.ncsu.edu/ld/onld/00001162,,,,,,,,,false
Imagine America Foundation,,,Publisher,,,,,5442,http://www.lib.ncsu.edu/ld/onld/00001031,,,,,,,,,false
Imprimerie nationale,,,Publisher,,,000000012176864X,,5444,http://www.lib.ncsu.edu/ld/onld/00000319,145043507,http://rdf.freebase.com/ns/m/09glfr0,n50054657,http://dbpedia.org/resource/Imprimerie_nationale,,,,,false
Independent Sector,,,Publisher,,,,,5451,http://www.lib.ncsu.edu/ld/onld/00001741,151967441,http://rdf.freebase.com/ns/m/0gh6kmg,n81122867,http://dbpedia.org/resource/Independent_Sector,,,,,false
"India Club, Inc.",,,Publisher,,,,,5457,http://www.lib.ncsu.edu/ld/onld/00001032,,http://rdf.freebase.com/ns/m/0fcwt33,,,,,,,false
Indian Academy of Sciences,,,Publisher,,,0000000121694206,,5460,http://www.lib.ncsu.edu/ld/onld/00000032,139402863,http://rdf.freebase.com/ns/m/0g56hn,n81139291,http://dbpedia.org/resource/Indian_Academy_of_Sciences,,,,,false
Indian Council of Medical Research,,,Publisher,,,0000000114984117,,5467,http://www.lib.ncsu.edu/ld/onld/00000492,264518454,http://rdf.freebase.com/ns/m/0fbj06,n50063115,http://dbpedia.org/resource/Indian_Council_of_Medical_Research,,,,,false
Alibris,,,Publisher,,,,,547,http://www.lib.ncsu.edu/ld/onld/00000949,123503118,http://rdf.freebase.com/ns/m/071yf6,no2004004504,http://dbpedia.org/resource/Alibris,,,,,false
"Indian Institute of Management, Ahmedabad",,,Publisher,,,0000000092441719,,5474,http://www.lib.ncsu.edu/ld/onld/00001951,261123473,http://rdf.freebase.com/ns/m/02m9nl,n82127213,,,,,,false
"Indian Institute of Management, Bangalore",,,Publisher,,,0000000103333968,,5480,http://www.lib.ncsu.edu/ld/onld/00001953,154318495,http://rdf.freebase.com/ns/m/053_02,n81096452,,,,,,false
"Indian Institute of Management, Calcutta",,,Publisher,,,0000000088404050,,5486,http://www.lib.ncsu.edu/ld/onld/00001952,128529232,http://rdf.freebase.com/ns/m/042gmt,n50063097,,,,,,false
Indian Mathematical Society,,,Publisher,,,0000000110921901,,5492,http://www.lib.ncsu.edu/ld/onld/00001826,155047353,http://rdf.freebase.com/ns/m/0cc6jcn,no88003257,http://dbpedia.org/resource/Indian_Mathematical_Society,,,,,false
Indiana University,,,Publisher,,,0000000121726108,,5499,http://www.lib.ncsu.edu/ld/onld/00001825,142461254,http://rdf.freebase.com/ns/m/01qrb2,n80126369,http://dbpedia.org/resource/Indiana_University,,,,,false
Indiana University Press,,,Publisher,,,0000000121498432,,5506,http://www.lib.ncsu.edu/ld/onld/00000120,122335523,http://rdf.freebase.com/ns/m/0c5h13,n83057354,http://dbpedia.org/resource/Indiana_University_Press,,,,,false
Indieflix,,,Publisher,,,,,5513,http://www.lib.ncsu.edu/ld/onld/00001033,159831446,http://rdf.freebase.com/ns/m/0ffnxq,no2008053097,,,,,,false
Industrial Designers Society of America,,,Publisher,,,0000000110150000,,5518,http://www.lib.ncsu.edu/ld/onld/00001611,146017074,http://rdf.freebase.com/ns/m/06q1qh,n81126118,http://dbpedia.org/resource/Industrial_Designers_Society_of_America,,,,,false
Industrial Fabrics Association International,,,Publisher,,,0000000110149990,,5525,http://www.lib.ncsu.edu/ld/onld/00001612,146016612,,n83203552,,,,,,false
